0,0 18,20000000
0,5 18,20000000
1,0 18,20000000
1,5 18,20000000
2,0 18,20000000
2,5 18,20000000
3,0 18,20000000
3,5 18,20000000
4,0 18,20000000
4,5 18,20000000
5,0 18,20000000
5,5 18,20000000
6,0 18,20000000
6,5 18,20000000
7,0 18,20000000
7,5 18,20000000
8,0 18,20000000
8,5 18,20000000
9,0 18,20000000
9,5 18,20000000
10,0 18,20000000
10,5 18,20000000
11,0 18,20000000
11,5 18,20000000
12,0 18,20000000
12,5 18,20000000
13,0 18,20000000
13,5 18,20000000
14,0 18,20000000
14,5 18,20000000
15,0 18,20000000
15,5 18,20000000
16,0 18,20000000
16,5 18,20000000
17,0 18,20000000
17,5 18,20000000
18,0 18,20000000
18,5 18,20000000
19,0 18,20000000
19,5 18,20000000
20,0 18,20000000
20,5 18,20000000
21,0 18,20000000
21,5 18,20000000
22,0 18,20000000
22,5 18,20000000
23,0 18,20000000
23,5 18,20000000
24,0 18,20000000
24,5 18,20000000
25,0 17,60000000
25,5 17,60000000
26,0 17,60000000
26,5 17,60000000
27,0 17,60000000
27,5 17,60000000
28,0 17,00000000
28,5 17,00000000
29,0 17,00000000
29,5 17,00000000
30,0 17,00000000
30,5 16,40000000
31,0 16,40000000
31,5 15,80000000
32,0 15,80000000
32,5 15,80000000
33,0 15,20000000
33,5 15,20000000
34,0 15,20000000
34,5 14,60000000
35,0 14,60000000
35,5 14,60000000
36,0 14,00000000
36,5 14,00000000
37,0 14,00000000
37,5 14,00000000
38,0 13,40000000
38,5 13,40000000
39,0 13,40000000
39,5 13,40000000
40,0 13,40000000
40,5 13,40000000
41,0 13,40000000
41,5 13,40000000
42,0 13,40000000
42,5 13,40000000
43,0 13,40000000
43,5 14,00000000
44,0 14,00000000
44,5 14,00000000
45,0 14,60000000
45,5 14,60000000
46,0 15,20000000
46,5 15,20000000
47,0 15,20000000
47,5 15,80000000
48,0 15,80000000
48,5 15,80000000
49,0 16,40000000
49,5 16,40000000
50,0 16,40000000
50,5 17,00000000
51,0 17,00000000
51,5 17,00000000
52,0 17,00000000
52,5 17,00000000
53,0 16,40000000
53,5 16,40000000
54,0 16,40000000
54,5 15,80000000
55,0 15,80000000
55,5 15,20000000
56,0 15,20000000
56,5 14,60000000
57,0 14,60000000
57,5 14,00000000
58,0 13,40000000
58,5 13,40000000
59,0 12,80000000
59,5 12,20000000
60,0 12,20000000
60,5 11,60000000
61,0 11,60000000
61,5 11,00000000
62,0 11,00000000
62,5 10,40000000
63,0 10,40000000
63,5 9,79999900
64,0 9,79999900
64,5 9,20000000
65,0 9,20000000
65,5 9,20000000
66,0 8,59999900
66,5 8,59999900
67,0 8,59999900
67,5 8,00000000
68,0 8,00000000
68,5 8,00000000
69,0 8,00000000
69,5 8,00000000
70,0 8,00000000
70,5 8,00000000
71,0 8,00000000
71,5 8,00000000
72,0 8,00000000
72,5 8,00000000
73,0 8,00000000
73,5 8,59999900
74,0 8,59999900
74,5 9,20000000
75,0 9,20000000
75,5 9,79999900
76,0 9,79999900
76,5 9,79999900
77,0 10,40000000
77,5 10,40000000
78,0 10,40000000
78,5 10,40000000
79,0 10,40000000
79,5 10,40000000
80,0 11,00000000
80,5 11,00000000
81,0 11,00000000
81,5 10,40000000
82,0 10,40000000
82,5 10,40000000
83,0 10,40000000
83,5 10,40000000
84,0 10,40000000
84,5 9,79999900
85,0 9,79999900
85,5 9,79999900
86,0 9,20000000
86,5 9,20000000
87,0 9,20000000
87,5 8,59999900
88,0 8,59999900
88,5 8,00000000
89,0 7,40000000
89,5 6,80000000
90,0 6,20000000
90,5 5,59999900
91,0 5,59999900
91,5 5,00000000
92,0 5,00000000
92,5 4,40000000
93,0 4,40000000
93,5 3,79999900
94,0 3,79999900
94,5 3,19999900
95,0 3,19999900
95,5 2,59999900
96,0 2,59999900
96,5 2,59999900
97,0 1,99999900
97,5 1,99999900
98,0 1,99999900
98,5 1,99999900
99,0 1,39999900
99,5 1,39999900
100,0 1,39999900
100,5 1,39999900
101,0 1,39999900
101,5 1,39999900
102,0 1,39999900
102,5 1,39999900
103,0 1,39999900
103,5 1,39999900
104,0 1,39999900
104,5 1,39999900
105,0 1,99999900
105,5 1,99999900
106,0 1,99999900
106,5 1,99999900
107,0 1,99999900
107,5 2,59999900
108,0 2,59999900
108,5 2,59999900
109,0 2,59999900
109,5 3,19999900
110,0 3,19999900
110,5 3,19999900
111,0 3,19999900
111,5 3,19999900
112,0 3,19999900
112,5 3,19999900
113,0 3,19999900
113,5 3,19999900
114,0 3,19999900
114,5 2,59999900
115,0 2,59999900
115,5 2,59999900
116,0 2,59999900
116,5 1,99999900
117,0 1,99999900
117,5 1,99999900
118,0 1,39999900
118,5 1,39999900
119,0 0,79999940
119,5 0,79999940
120,0 0,19999930
120,5 0,19999930
121,0 -0,40000070
121,5 -0,40000070
122,0 -1,00000100
122,5 -1,60000100
123,0 -2,20000100
123,5 -2,80000100
124,0 -2,80000100
124,5 -3,40000100
125,0 -3,40000100
125,5 -4,00000100
126,0 -4,00000100
126,5 -4,60000100
127,0 -4,60000100
127,5 -4,60000100
128,0 -5,20000100
128,5 -5,20000100
129,0 -5,20000100
129,5 -5,80000100
130,0 -5,80000100
130,5 -5,80000100
131,0 -5,80000100
131,5 -6,40000100
132,0 -6,40000100
132,5 -6,40000100
133,0 -6,40000100
133,5 -6,40000100
134,0 -6,40000100
134,5 -6,40000100
135,0 -6,40000100
135,5 -6,40000100
136,0 -6,40000100
136,5 -5,80000100
137,0 -5,80000100
137,5 -5,80000100
138,0 -5,80000100
