0,0 3,62032700
0,5 9,25147400
1,0 13,63602000
1,5 17,90800000
2,0 22,33468000
2,5 27,54730000
3,0 33,73758000
3,5 38,02670000
4,0 41,86739000
4,5 46,31919000
5,0 50,48410000
5,5 54,61813000
6,0 58,21292000
6,5 61,99619000
7,0 65,70765000
7,5 69,26240000
8,0 73,04782000
8,5 76,45332000
9,0 79,78811000
9,5 82,96791000
10,0 86,00001000
10,5 88,27477000
11,0 90,33916000
11,5 92,36218000
12,0 94,35546000
12,5 96,43372000
13,0 98,36623000
13,5 100,38070000
14,0 102,25340000
14,5 104,09740000
15,0 105,91300000
15,5 107,70020000
16,0 109,45970000
16,5 111,19130000
17,0 112,89560000
17,5 114,57260000
18,0 116,22280000
18,5 117,84640000
19,0 119,44360000
19,5 120,92320000
20,0 122,47020000
20,5 123,99190000
21,0 125,48850000
21,5 127,04610000
22,0 128,49200000
22,5 129,91380000
23,0 131,37130000
23,5 130,08690000
24,0 127,32650000
24,5 127,08750000
25,0 127,22830000
25,5 127,30540000
26,0 127,36140000
26,5 127,45780000
27,0 127,59110000
27,5 127,76160000
28,0 127,96070000
28,5 128,19960000
29,0 128,45210000
29,5 128,55550000
30,0 127,71560000
30,5 127,62810000
31,0 119,87690000
31,5 109,97300000
32,0 105,85060000
32,5 102,83170000
33,0 99,47286000
33,5 96,13231000
34,0 92,64888000
34,5 88,97554000
35,0 85,77735000
35,5 83,07842000
36,0 80,64342000
36,5 78,34325000
37,0 76,30416000
37,5 74,51672000
38,0 73,01078000
38,5 71,90318000
39,0 71,55535000
39,5 71,98949000
40,0 73,13882000
40,5 75,21384000
41,0 77,72863000
41,5 81,02332000
42,0 84,91848000
42,5 89,35097000
43,0 93,96198000
43,5 99,50745000
44,0 105,06300000
44,5 110,83070000
45,0 119,05530000
45,5 127,02790000
46,0 135,59020000
46,5 141,37920000
47,0 147,31500000
47,5 152,42710000
48,0 157,59480000
48,5 162,48080000
49,0 167,04560000
49,5 171,48680000
50,0 175,23360000
50,5 176,23120000
51,0 178,17800000
51,5 180,00840000
52,0 181,38430000
52,5 183,22820000
53,0 183,43800000
53,5 182,70080000
54,0 180,91950000
54,5 177,71040000
55,0 175,32430000
55,5 172,82410000
56,0 168,75520000
56,5 165,14200000
57,0 161,45870000
57,5 157,12190000
58,0 153,04760000
58,5 148,85710000
59,0 144,34700000
59,5 139,99270000
60,0 135,60400000
60,5 131,20250000
61,0 127,04670000
61,5 122,70430000
62,0 118,43130000
62,5 114,04890000
63,0 110,23030000
63,5 106,17220000
64,0 102,71480000
64,5 99,30991000
65,0 96,19567000
65,5 93,55273000
66,0 91,08945000
66,5 88,75582000
67,0 86,96169000
67,5 86,04842000
68,0 85,64815000
68,5 85,81536000
69,0 86,64319000
69,5 87,97287000
70,0 89,73125000
70,5 92,25328000
71,0 95,32722000
71,5 98,70450000
72,0 102,70580000
72,5 107,09380000
73,0 111,80250000
73,5 121,34760000
74,0 130,78790000
74,5 138,61990000
75,0 146,86000000
75,5 153,47300000
76,0 158,02990000
76,5 162,61760000
77,0 166,72180000
77,5 170,55560000
78,0 173,80190000
78,5 175,88220000
79,0 178,26700000
79,5 180,47350000
80,0 182,30320000
80,5 183,73320000
81,0 184,86080000
81,5 185,73360000
82,0 186,25720000
82,5 186,49290000
83,0 186,41660000
83,5 186,02530000
84,0 185,32250000
84,5 184,70930000
85,0 184,21130000
85,5 182,83430000
86,0 181,38830000
86,5 179,60690000
87,0 177,54760000
87,5 175,24890000
88,0 172,72540000
88,5 168,80010000
89,0 163,20520000
89,5 158,40420000
90,0 153,20850000
90,5 147,49550000
91,0 143,77060000
91,5 140,04130000
92,0 136,15490000
92,5 132,51170000
93,0 128,95150000
93,5 125,67880000
94,0 122,21180000
94,5 119,09590000
95,0 116,33030000
95,5 113,78620000
96,0 111,38250000
96,5 109,38560000
97,0 107,62440000
97,5 106,30210000
98,0 105,26740000
98,5 104,72520000
99,0 104,63730000
99,5 104,97120000
100,0 105,83900000
100,5 106,99810000
101,0 108,82260000
101,5 111,37750000
102,0 114,32670000
102,5 117,72110000
103,0 121,68560000
103,5 125,61820000
104,0 129,18320000
104,5 133,09980000
105,0 136,91450000
105,5 141,00710000
106,0 145,34940000
106,5 149,68170000
107,0 153,96500000
107,5 157,74000000
108,0 163,78200000
108,5 169,42380000
109,0 174,08170000
109,5 178,25500000
110,0 181,77850000
110,5 184,02570000
111,0 185,98470000
111,5 187,56680000
112,0 188,94140000
112,5 190,00880000
113,0 190,73530000
113,5 191,18490000
114,0 191,36110000
114,5 191,23890000
115,0 190,83370000
115,5 190,19030000
116,0 189,24380000
116,5 188,04170000
117,0 186,67790000
117,5 185,10370000
118,0 183,34170000
118,5 181,39560000
119,0 179,28610000
119,5 177,02700000
120,0 174,49460000
120,5 171,83270000
121,0 169,20500000
121,5 166,64600000
122,0 162,30080000
122,5 156,40320000
123,0 151,90320000
123,5 146,34100000
124,0 142,32280000
124,5 139,34210000
125,0 136,75560000
125,5 134,15590000
126,0 131,70320000
126,5 129,54100000
127,0 127,65910000
127,5 125,85080000
128,0 124,34100000
128,5 122,96320000
129,0 121,82810000
129,5 120,99690000
130,0 120,41290000
130,5 120,07000000
131,0 120,02070000
131,5 120,78730000
132,0 122,42810000
132,5 124,66200000
133,0 127,79680000
133,5 130,40660000
134,0 132,88860000
134,5 135,57300000
135,0 138,43540000
135,5 141,62180000
136,0 144,77020000
136,5 148,01830000
137,0 151,51240000
137,5 155,24090000
138,0 158,79700000
