0 8,06269600
1 14,32117000
2 19,19404000
3 23,55785000
4 31,12249000
5 36,87854000
6 41,24031000
7 44,93799000
8 49,77530000
9 54,14515000
10 58,03066000
11 61,97306000
12 65,84473000
13 69,29582000
14 72,98528000
15 76,96404000
16 80,89602000
17 84,31822000
18 87,49653000
19 90,47724000
20 93,27160000
21 95,34937000
22 97,49419000
23 99,49180000
24 101,95980000
25 104,56440000
26 106,61760000
27 108,53160000
28 110,31250000
29 112,14860000
30 113,85670000
31 115,61730000
32 117,25480000
33 118,85890000
34 120,51170000
35 122,12880000
36 123,78910000
37 125,25870000
38 126,69810000
39 128,19070000
40 129,57480000
41 131,02350000
42 132,35510000
43 133,61590000
44 134,97120000
45 136,24360000
46 137,41520000
47 138,63490000
48 139,83780000
49 141,48070000
50 143,52380000
51 144,94830000
52 145,61780000
53 145,65070000
54 145,08270000
55 144,39410000
56 143,35760000
57 142,12110000
58 140,57010000
59 138,87570000
60 136,87860000
61 134,68310000
62 132,31150000
63 129,91650000
64 127,26950000
65 124,51770000
66 121,82990000
67 119,23850000
68 116,33240000
69 113,57000000
70 110,68800000
71 108,00100000
72 105,39000000
73 102,88150000
74 100,38150000
75 98,05701000
76 95,94025000
