0 -6,12245000
1 -6,12224400
2 -6,15785600
3 -6,24053800
4 -6,22337400
5 -6,09891500
6 -5,85148500
7 -5,51196700
8 -5,12084200
9 -4,64929400
10 -4,29318400
11 -3,94526000
12 -3,58995000
13 -3,20896800
14 -2,81218300
15 -2,41092900
16 -1,97346200
17 -1,53255500
18 -1,07799300
19 -0,62242760
20 -0,14235900
21 0,42670180
22 1,02446700
23 1,50314000
24 1,99098500
25 2,47389300
26 4,20542800
27 5,35847900
28 3,56413900
29 6,38550800
30 7,72073300
31 10,26075000
32 14,38645000
33 18,51721000
34 23,92981000
35 30,62907000
36 38,02244000
37 46,71660000
38 56,28455000
39 66,47250000
40 76,93822000
41 86,97366000
42 96,47493000
43 104,92570000
