0 -8,23315900
1 -4,35278600
2 5,07476200
3 29,23323000
4 51,72377000
5 79,11043000
6 111,81430000
7 151,28850000
8 194,12130000
9 243,03660000
10 279,95420000
11 316,13320000
12 353,08300000
13 392,68950000
14 433,94390000
15 475,67030000
16 521,16610000
17 567,02220000
18 614,30230000
19 661,68970000
20 711,62850000
21 770,82760000
22 833,01590000
23 882,81680000
24 933,57340000
25 983,81790000
26 1075,58300000
27 1162,79300000
28 1236,11100000
29 1288,05300000
30 1338,98000000
31 1391,85400000
32 1443,53500000
33 1495,36600000
34 1547,08200000
35 1599,95500000
36 1652,32200000
37 1703,90700000
38 1754,54000000
39 1806,25800000
40 1858,10800000
41 1910,44400000
42 1962,51600000
43 2011,46500000
